sample_id,product,angular_frequency,storage_modulus,loss_modulus,tan_delta,temperature
cheese_rheo_e594cc002175,plant_mozzarella,0.798103,366884,72146.1,0.196645,25
cheese_rheo_4e15653d79b9,plant_cheddar,0.798103,447991,34393.6,0.076773,25
cheese_rheo_4746b314b0d2,dairy_cheddar,0.503572,516379,180471.0,0.349493,25
cheese_rheo_80ff05481ad9,plant_feta,31.7731,552037,445032.0,0.806165,25
cheese_rheo_c8b760392806,plant_feta,0.798103,285207,65170.5,0.228503,25
cheese_rheo_480b1108b018,dairy_feta,12.6492,1530760,478698.0,0.312719,25
cheese_rheo_8c9adf1d7529,plant_cheddar,0.199526,368453,52290.6,0.141919,25
cheese_rheo_efba4e3bce95,dairy_cheddar,0.200475,546435,194972.0,0.356807,25
cheese_rheo_f999dd55b81a,plant_mozzarella,1.00476,587343,80251.1,0.136634,25
cheese_rheo_6c53f905caa7,plant_feta,0.100476,226877,174588.0,0.769528,25
cheese_rheo_e594cc002175,plant_mozzarella,0.633961,364288,71648.0,0.19668,25
cheese_rheo_ffe0014387aa,plant_cheddar,0.199526,300521,68820.6,0.229004,25
cheese_rheo_480b1108b018,dairy_feta,15.9242,1592780,502549.0,0.315516,25
cheese_rheo_ea72985b5acd,plant_mozzarella,0.159243,402510,55130.0,0.136966,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,1.59243,451357,67184.6,0.14885,25
cheese_rheo_4746b314b0d2,dairy_cheddar,1.00476,556894,194979.0,0.350119,25
cheese_rheo_f999dd55b81a,plant_mozzarella,10.0476,643846,89730.8,0.139367,25
cheese_rheo_ea72985b5acd,plant_mozzarella,1.26491,428977,55406.1,0.129159,25
cheese_rheo_b383986cc83e,plant_cheddar,0.1,419163,36859.3,0.0879355,25
cheese_rheo_e594cc002175,plant_mozzarella,2.52384,384124,75581.9,0.196764,25
cheese_rheo_b383986cc83e,plant_cheddar,0.798103,438398,35030.9,0.0799067,25
cheese_rheo_480b1108b018,dairy_feta,31.7731,1795680,589981.0,0.328557,25
cheese_rheo_6c53f905caa7,plant_feta,6.33961,370457,324883.0,0.876981,25
cheese_rheo_4746b314b0d2,dairy_cheddar,0.100476,422432,156534.0,0.370554,25
cheese_rheo_2d5fd8e35091,dairy_feta,0.633961,995016,282553.0,0.283968,25
cheese_rheo_6c53f905caa7,plant_feta,0.503572,256498,238857.0,0.931226,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,0.633961,183994,62277.8,0.338478,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,2.52384,275469,88669.4,0.321886,25
cheese_rheo_4e2a0a130dcc,dairy_feta,2.52384,1218350,352395.0,0.289239,25
cheese_rheo_9e358f6dde22,dairy_feta,0.200475,436921,130954.0,0.299721,25
cheese_rheo_3d3025531656,dairy_mozzarella,0.503572,241656,80094.8,0.331442,25
cheese_rheo_3d3025531656,dairy_mozzarella,15.9242,390429,130729.0,0.334834,25
cheese_rheo_caf5fd7a2800,plant_feta,7.98103,223529,191765.0,0.857896,25
cheese_rheo_4e15653d79b9,plant_cheddar,7.98103,482648,43992.9,0.0911491,25
cheese_rheo_ea0a03a926f1,plant_cheddar,2.00475,453508,34034.6,0.0750473,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,0.4,170483,59587.9,0.349523,25
cheese_rheo_efba4e3bce95,dairy_cheddar,1.59243,719632,240611.0,0.334352,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,1.59243,247228,78338.2,0.316866,25
cheese_rheo_b383986cc83e,plant_cheddar,1.26491,443104,35931.4,0.0810904,25
cheese_rheo_6c53f905caa7,plant_feta,3.17733,331039,300201.0,0.906846,25
cheese_rheo_4746b314b0d2,dairy_cheddar,20.0475,744231,294862.0,0.396197,25
cheese_rheo_2d5fd8e35091,dairy_feta,0.252383,858013,241824.0,0.281842,25
cheese_rheo_8c9adf1d7529,plant_cheddar,10.0001,430518,56335.6,0.130855,25
cheese_rheo_ea0a03a926f1,plant_cheddar,20.0475,479454,42413.6,0.0884624,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,20.0475,364763,123607.0,0.338869,25
cheese_rheo_7236086d1bf4,dairy_cheddar,2.00475,567468,197696.0,0.348382,25
cheese_rheo_caf5fd7a2800,plant_feta,0.4,136606,127614.0,0.934175,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,0.633961,224199,75345.9,0.336067,25
cheese_rheo_caf5fd7a2800,plant_feta,1.26491,161532,150797.0,0.933545,25
cheese_rheo_ffe0014387aa,plant_cheddar,7.94327,334625,65434.4,0.195545,25
