participant_id,product,presentation_order,appearance,flavor,texture,shrimp_intensity,firmness,chewiness,overall,purchase,cata_shrimplike,cata_fishy,cata_salty,cata_savory,cata_bland,cata_firm,cata_tender,cata_chewy,cata_rubbery,cata_juicy,cata_naturallooking,cata_appealing_color,cata_fresh_aroma,cata_offflavor,cata_offodor
coast_a958df61cf0e,conventional,2,7,2,4,3.0,2.0,1.0,3,4.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
coast_a4a2e64bf473,plant_based,2,7,9,9,3.0,3.0,3.0,6,3.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
coast_35ebf531e55e,plant_based,2,3,6,6,3.0,2.0,2.0,6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
coast_f6480f960f4e,conventional,1,9,6,6,2.0,3.0,3.0,9,2.0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0
coast_20c212ba3094,conventional,2,1,5,5,3.0,1.0,1.0,1,5.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
coast_c8e50ea7dd9f,plant_based,1,6,6,9,2.0,3.0,3.0,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
coast_cac6636312b6,plant_based,1,9,9,8,4.0,3.0,3.0,9,1.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
coast_66d3c0b07948,conventional,1,2,2,3,4.0,2.0,2.0,7,4.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
coast_956db94d41e3,plant_based,2,9,9,9,4.0,3.0,2.0,9,2.0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
coast_dd69d732f721,conventional,2,7,7,7,4.0,2.0,3.0,2,3.0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
coast_1cf07b1f5b3e,plant_based,1,7,6,7,3.0,3.0,3.0,7,3.0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0
coast_125122ef0311,conventional,2,6,6,7,3.0,3.0,2.0,6,2.0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
